Year,State,Sex,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2023,Iowa,Male,226.0,7173.0,436.0,63.0,34.0,629.0
2023,Kansas,Female,178.0,6228.0,376.0,59.0,18.0,512.0
2023,Kansas,Male,182.0,6610.0,403.0,61.0,15.0,538.0
2023,Kentucky,Female,438.0,10689.0,926.0,146.0,32.0,1245.0
2023,Kentucky,Male,543.0,11576.0,1035.0,200.0,27.0,1401.0
2023,Louisiana,Female,230.0,8964.0,382.0,67.0,11.0,555.0
2023,Louisiana,Male,224.0,9765.0,449.0,73.0,11.0,611.0
2023,Maine,Female,121.0,3662.0,238.0,32.0,21.0,348.0
2023,Maine,Male,112.0,3848.0,276.0,33.0,18.0,372.0
2023,Maryland,Female,380.0,11305.0,708.0,103.0,27.0,1008.0
2023,Maryland,Male,417.0,11774.0,857.0,129.0,19.0,1162.0
2023,Massachusetts,Female,462.0,13789.0,855.0,128.0,61.0,1244.0
2023,Massachusetts,Male,452.0,13596.0,951.0,166.0,49.0,1281.0
2023,Michigan,Female,745.0,22169.0,1260.0,216.0,75.0,1861.0
2023,Michigan,Male,663.0,23226.0,1441.0,244.0,70.0,1926.0
2023,Minnesota,Female,429.0,10399.0,604.0,116.0,31.0,946.0
2023,Minnesota,Male,354.0,10958.0,735.0,100.0,22.0,1011.0
2023,Mississippi,Female,258.0,7120.0,535.0,79.0,17.0,728.0
2023,Mississippi,Male,263.0,7553.0,551.0,92.0,12.0,733.0
2023,Missouri,Female,375.0,14292.0,895.0,124.0,39.0,1180.0
2023,Missouri,Male,390.0,15206.0,967.0,159.0,37.0,1229.0
2023,Montana,Female,59.0,2335.0,146.0,20.0,0.0,194.0
2023,Montana,Male,71.0,2542.0,134.0,18.0,12.0,198.0
2023,Nebraska,Female,130.0,3943.0,247.0,38.0,12.0,350.0
2023,Nebraska,Male,160.0,4088.0,301.0,45.0,11.0,427.0
2023,Nevada,Female,124.0,5718.0,421.0,66.0,15.0,493.0
2023,Nevada,Male,156.0,7339.0,580.0,101.0,21.0,656.0
2023,New Hampshire,Female,103.0,3004.0,173.0,26.0,11.0,261.0
2023,New Hampshire,Male,106.0,3296.0,187.0,35.0,17.0,274.0
2023,New Jersey,Female,556.0,16932.0,903.0,151.0,41.0,1346.0
2023,New Jersey,Male,527.0,16784.0,993.0,189.0,27.0,1357.0
2023,New Mexico,Female,140.0,4083.0,294.0,67.0,14.0,379.0
2023,New Mexico,Male,144.0,4914.0,356.0,82.0,15.0,432.0
2023,New York,Female,862.0,24102.0,1862.0,245.0,82.0,2557.0
2023,New York,Male,895.0,24291.0,2024.0,276.0,53.0,2692.0
2023,North Carolina,Female,803.0,23053.0,1593.0,290.0,60.0,2160.0
2023,North Carolina,Male,745.0,24350.0,1672.0,310.0,32.0,2136.0
2023,North Dakota,Female,51.0,1565.0,116.0,17.0,16.0,164.0
2023,North Dakota,Male,44.0,1670.0,130.0,20.0,0.0,160.0
2023,Ohio,Female,901.0,27403.0,1454.0,278.0,81.0,2153.0
2023,Ohio,Male,880.0,28338.0,1558.0,302.0,50.0,2182.0
2023,Oklahoma,Female,375.0,8986.0,714.0,107.0,38.0,1017.0
2023,Oklahoma,Male,334.0,9578.0,778.0,124.0,40.0,1022.0
2023,Oregon,Female,234.0,8594.0,451.0,73.0,31.0,640.0
2023,Oregon,Male,245.0,9584.0,535.0,106.0,29.0,702.0
2023,Pennsylvania,Female,1039.0,30588.0,1661.0,277.0,85.0,2503.0
2023,Pennsylvania,Male,996.0,31485.0,1862.0,355.0,85.0,2584.0
2023,Rhode Island,Female,57.0,2491.0,118.0,15.0,0.0,167.0
2023,Rhode Island,Male,72.0,2419.0,105.0,19.0,0.0,165.0
2023,South Carolina,Female,410.0,11829.0,679.0,132.0,24.0,977.0
2023,South Carolina,Male,428.0,13314.0,795.0,154.0,25.0,1091.0
2023,South Dakota,Female,47.0,1626.0,114.0,11.0,12.0,161.0
2023,South Dakota,Male,65.0,1823.0,144.0,20.0,0.0,197.0
2023,Tennessee,Female,618.0,17446.0,1178.0,201.0,48.0,1634.0
2023,Tennessee,Male,581.0,18883.0,1352.0,215.0,47.0,1759.0
2023,Texas,Female,1254.0,47167.0,3060.0,565.0,111.0,3844.0
2023,Texas,Male,1490.0,52527.0,3654.0,729.0,93.0,4493.0
2023,Utah,Female,68.0,4486.0,240.0,32.0,16.0,290.0
2023,Utah,Male,86.0,5167.0,271.0,38.0,23.0,340.0
2023,Vermont,Female,48.0,1392.0,93.0,14.0,10.0,136.0
2023,Vermont,Male,45.0,1360.0,94.0,17.0,0.0,129.0
2023,Virginia,Female,547.0,16711.0,844.0,169.0,29.0,1248.0
2023,Virginia,Male,521.0,17424.0,854.0,181.0,25.0,1219.0
2023,Washington,Female,372.0,13403.0,808.0,157.0,55.0,1076.0
2023,Washington,Male,402.0,15392.0,950.0,176.0,45.0,1218.0
2023,West Virginia,Female,201.0,5158.0,485.0,70.0,17.0,633.0
2023,West Virginia,Male,198.0,5808.0,546.0,80.0,0.0,666.0
2023,Wisconsin,Female,307.0,12127.0,579.0,84.0,49.0,843.0
2023,Wisconsin,Male,359.0,13168.0,696.0,133.0,34.0,954.0
2023,Wyoming,Female,25.0,1054.0,60.0,0.0,0.0,78.0
2023,Wyoming,Male,35.0,1220.0,75.0,13.0,0.0,99.0
