Year,State,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2023,Connecticut,30-49 years,0.0,788.0,16.0,0.0,0.0,18.0
2023,Connecticut,50-74 years,102.0,4353.0,313.0,25.0,0.0,395.0
2023,Connecticut,75+ years,328.0,9043.0,771.0,114.0,14.0,1005.0
2023,Delaware,0-17 years,0.0,54.0,0.0,0.0,0.0,0.0
2023,Delaware,18-29 years,0.0,76.0,0.0,0.0,0.0,0.0
2023,Delaware,30-49 years,0.0,290.0,0.0,0.0,0.0,0.0
2023,Delaware,50-74 years,27.0,1637.0,89.0,0.0,0.0,109.0
2023,Delaware,75+ years,137.0,2624.0,176.0,45.0,0.0,271.0
2023,Florida,0-17 years,0.0,942.0,17.0,0.0,0.0,27.0
2023,Florida,18-29 years,0.0,1542.0,33.0,0.0,0.0,39.0
2023,Florida,30-49 years,55.0,6219.0,252.0,19.0,0.0,290.0
2023,Florida,50-74 years,673.0,34996.0,2406.0,337.0,79.0,2816.0
2023,Florida,75+ years,2109.0,60322.0,4665.0,1015.0,142.0,5891.0
2023,Georgia,0-17 years,0.0,444.0,10.0,0.0,0.0,16.0
2023,Georgia,18-29 years,0.0,725.0,15.0,0.0,0.0,17.0
2023,Georgia,30-49 years,38.0,2726.0,91.0,0.0,0.0,122.0
2023,Georgia,50-74 years,384.0,15722.0,900.0,149.0,35.0,1169.0
2023,Georgia,75+ years,701.0,20139.0,1175.0,244.0,19.0,1655.0
2023,Idaho,0-17 years,0.0,78.0,0.0,0.0,0.0,0.0
2023,Idaho,18-29 years,0.0,123.0,0.0,0.0,0.0,0.0
2023,Idaho,30-49 years,0.0,431.0,0.0,0.0,0.0,10.0
2023,Idaho,50-74 years,45.0,2386.0,116.0,16.0,0.0,150.0
2023,Idaho,75+ years,102.0,4169.0,222.0,46.0,11.0,296.0
2023,Illinois,0-17 years,0.0,519.0,18.0,0.0,0.0,19.0
2023,Illinois,18-29 years,0.0,840.0,15.0,0.0,0.0,22.0
2023,Illinois,30-49 years,14.0,3163.0,76.0,0.0,0.0,101.0
2023,Illinois,50-74 years,330.0,17381.0,948.0,127.0,11.0,1168.0
2023,Illinois,75+ years,882.0,27711.0,1776.0,323.0,57.0,2387.0
2023,Indiana,0-17 years,0.0,308.0,0.0,0.0,0.0,16.0
2023,Indiana,18-29 years,0.0,450.0,12.0,0.0,0.0,13.0
2023,Indiana,30-49 years,11.0,1737.0,75.0,0.0,0.0,85.0
2023,Indiana,50-74 years,252.0,11017.0,817.0,116.0,30.0,981.0
2023,Indiana,75+ years,539.0,16266.0,1087.0,176.0,48.0,1496.0
2023,Iowa,0-17 years,0.0,91.0,0.0,0.0,0.0,0.0
2023,Iowa,18-29 years,0.0,143.0,0.0,0.0,0.0,0.0
2023,Iowa,30-49 years,0.0,601.0,21.0,0.0,0.0,28.0
2023,Iowa,50-74 years,102.0,4639.0,262.0,23.0,0.0,349.0
2023,Iowa,75+ years,306.0,8719.0,503.0,74.0,40.0,773.0
2023,Kansas,0-17 years,0.0,144.0,0.0,0.0,0.0,0.0
2023,Kansas,18-29 years,0.0,211.0,0.0,0.0,0.0,0.0
2023,Kansas,30-49 years,0.0,740.0,13.0,0.0,0.0,17.0
2023,Kansas,50-74 years,103.0,4361.0,269.0,40.0,11.0,346.0
2023,Kansas,75+ years,244.0,7382.0,483.0,75.0,14.0,668.0
2023,Kentucky,0-17 years,0.0,168.0,0.0,0.0,0.0,0.0
2023,Kentucky,18-29 years,0.0,328.0,10.0,0.0,0.0,13.0
2023,Kentucky,30-49 years,16.0,1548.0,78.0,0.0,0.0,98.0
2023,Kentucky,50-74 years,307.0,9114.0,834.0,131.0,14.0,1030.0
2023,Kentucky,75+ years,645.0,11107.0,1034.0,208.0,33.0,1497.0
2023,Louisiana,0-17 years,0.0,229.0,0.0,0.0,0.0,16.0
2023,Louisiana,18-29 years,0.0,348.0,0.0,0.0,0.0,0.0
2023,Louisiana,30-49 years,13.0,1406.0,29.0,0.0,0.0,44.0
2023,Louisiana,50-74 years,128.0,7418.0,327.0,40.0,0.0,421.0
2023,Louisiana,75+ years,305.0,9328.0,464.0,98.0,0.0,681.0
2023,Maine,0-17 years,0.0,46.0,0.0,0.0,0.0,0.0
2023,Maine,18-29 years,0.0,73.0,0.0,0.0,0.0,0.0
2023,Maine,30-49 years,0.0,394.0,0.0,0.0,0.0,10.0
2023,Maine,50-74 years,66.0,2501.0,167.0,16.0,0.0,218.0
2023,Maine,75+ years,164.0,4496.0,333.0,40.0,30.0,486.0
2023,Maryland,0-17 years,0.0,261.0,0.0,0.0,0.0,0.0
2023,Maryland,18-29 years,0.0,399.0,0.0,0.0,0.0,0.0
2023,Maryland,30-49 years,0.0,1552.0,55.0,0.0,0.0,65.0
2023,Maryland,50-74 years,217.0,8120.0,532.0,65.0,10.0,696.0
2023,Maryland,75+ years,563.0,12747.0,972.0,164.0,27.0,1397.0
2023,Massachusetts,0-17 years,0.0,171.0,0.0,0.0,0.0,0.0
2023,Massachusetts,18-29 years,0.0,290.0,0.0,0.0,0.0,0.0
2023,Massachusetts,30-49 years,14.0,1458.0,46.0,0.0,0.0,64.0
2023,Massachusetts,50-74 years,191.0,8637.0,526.0,76.0,23.0,671.0
2023,Massachusetts,75+ years,698.0,16829.0,1226.0,210.0,73.0,1777.0
2023,Michigan,0-17 years,0.0,410.0,12.0,0.0,0.0,15.0
2023,Michigan,18-29 years,0.0,593.0,12.0,0.0,0.0,16.0
2023,Michigan,30-49 years,37.0,2691.0,97.0,0.0,0.0,129.0
2023,Michigan,50-74 years,371.0,16557.0,1046.0,121.0,56.0,1351.0
2023,Michigan,75+ years,991.0,25144.0,1534.0,325.0,80.0,2276.0
2023,Minnesota,0-17 years,0.0,196.0,0.0,0.0,0.0,0.0
2023,Minnesota,18-29 years,0.0,238.0,0.0,0.0,0.0,0.0
2023,Minnesota,30-49 years,13.0,1019.0,29.0,0.0,0.0,45.0
2023,Minnesota,50-74 years,149.0,6835.0,426.0,52.0,11.0,536.0
2023,Minnesota,75+ years,612.0,13069.0,872.0,158.0,35.0,1359.0
2023,Mississippi,0-17 years,0.0,184.0,0.0,0.0,0.0,0.0
2023,Mississippi,18-29 years,0.0,272.0,0.0,0.0,0.0,0.0
2023,Mississippi,30-49 years,0.0,1048.0,54.0,0.0,0.0,65.0
2023,Mississippi,50-74 years,180.0,5979.0,433.0,63.0,0.0,562.0
2023,Mississippi,75+ years,323.0,7190.0,593.0,102.0,0.0,826.0
2023,Missouri,0-17 years,0.0,305.0,0.0,0.0,0.0,10.0
2023,Missouri,18-29 years,0.0,424.0,10.0,0.0,0.0,14.0
2023,Missouri,30-49 years,14.0,1689.0,55.0,0.0,0.0,68.0
2023,Missouri,50-74 years,216.0,10973.0,705.0,95.0,29.0,850.0
2023,Missouri,75+ years,518.0,16107.0,1085.0,176.0,45.0,1467.0
2023,Montana,0-17 years,0.0,41.0,0.0,0.0,0.0,0.0
2023,Montana,18-29 years,0.0,82.0,0.0,0.0,0.0,0.0
2023,Montana,30-49 years,0.0,281.0,0.0,0.0,0.0,11.0
2023,Montana,50-74 years,24.0,1686.0,91.0,10.0,0.0,119.0
2023,Montana,75+ years,96.0,2787.0,171.0,27.0,0.0,251.0
2023,Nebraska,0-17 years,0.0,97.0,0.0,0.0,0.0,0.0
2023,Nebraska,18-29 years,0.0,98.0,0.0,0.0,0.0,0.0
2023,Nebraska,30-49 years,0.0,395.0,11.0,0.0,0.0,21.0
2023,Nebraska,50-74 years,57.0,2619.0,161.0,12.0,0.0,208.0
2023,Nebraska,75+ years,233.0,4822.0,362.0,64.0,0.0,543.0
2023,Nevada,0-17 years,0.0,137.0,0.0,0.0,0.0,0.0
2023,Nevada,18-29 years,0.0,230.0,0.0,0.0,0.0,11.0
2023,Nevada,30-49 years,0.0,1041.0,53.0,0.0,0.0,58.0
2023,Nevada,50-74 years,85.0,5099.0,392.0,55.0,10.0,438.0
2023,Nevada,75+ years,187.0,6550.0,544.0,108.0,0.0,637.0
2023,New Hampshire,0-17 years,0.0,28.0,0.0,0.0,0.0,0.0
2023,New Hampshire,18-29 years,0.0,71.0,0.0,0.0,0.0,0.0
2023,New Hampshire,30-49 years,0.0,305.0,0.0,0.0,0.0,0.0
2023,New Hampshire,50-74 years,46.0,2124.0,98.0,0.0,0.0,141.0
2023,New Hampshire,75+ years,155.0,3772.0,251.0,49.0,10.0,376.0
2023,New Jersey,0-17 years,0.0,223.0,0.0,0.0,0.0,0.0
2023,New Jersey,18-29 years,0.0,389.0,10.0,0.0,0.0,13.0
2023,New Jersey,30-49 years,16.0,1851.0,59.0,0.0,0.0,72.0
2023,New Jersey,50-74 years,271.0,10770.0,557.0,93.0,25.0,758.0
2023,New Jersey,75+ years,787.0,20483.0,1264.0,237.0,40.0,1852.0
2023,New Mexico,0-17 years,0.0,82.0,0.0,0.0,0.0,0.0
2023,New Mexico,18-29 years,0.0,226.0,0.0,0.0,0.0,0.0
2023,New Mexico,30-49 years,12.0,856.0,49.0,0.0,0.0,62.0
2023,New Mexico,50-74 years,86.0,3202.0,244.0,41.0,0.0,297.0
2023,New Mexico,75+ years,176.0,4631.0,353.0,99.0,11.0,443.0
2023,New York,0-17 years,0.0,327.0,0.0,0.0,0.0,12.0
2023,New York,18-29 years,0.0,542.0,14.0,0.0,0.0,19.0
2023,New York,30-49 years,27.0,2479.0,90.0,0.0,0.0,119.0
2023,New York,50-74 years,414.0,15598.0,1122.0,144.0,41.0,1430.0
2023,New York,75+ years,1298.0,29447.0,2653.0,366.0,89.0,3669.0
2023,North Carolina,0-17 years,0.0,581.0,10.0,0.0,0.0,15.0
2023,North Carolina,18-29 years,0.0,932.0,13.0,0.0,0.0,17.0
2023,North Carolina,30-49 years,32.0,3336.0,101.0,0.0,0.0,124.0
2023,North Carolina,50-74 years,444.0,17720.0,1203.0,188.0,35.0,1490.0
2023,North Carolina,75+ years,1063.0,24834.0,1938.0,398.0,52.0,2650.0
2023,North Dakota,0-17 years,0.0,36.0,0.0,0.0,0.0,0.0
2023,North Dakota,18-29 years,0.0,44.0,0.0,0.0,0.0,0.0
2023,North Dakota,30-49 years,0.0,202.0,0.0,0.0,0.0,0.0
2023,North Dakota,50-74 years,16.0,1085.0,90.0,0.0,0.0,108.0
2023,North Dakota,75+ years,72.0,1868.0,142.0,25.0,0.0,201.0
2023,Ohio,0-17 years,0.0,611.0,18.0,0.0,0.0,25.0
2023,Ohio,18-29 years,0.0,825.0,11.0,0.0,0.0,15.0
2023,Ohio,30-49 years,30.0,3660.0,99.0,0.0,0.0,121.0
2023,Ohio,50-74 years,518.0,20365.0,1134.0,189.0,62.0,1520.0
2023,Ohio,75+ years,1223.0,30280.0,1750.0,378.0,63.0,2654.0
2023,Oklahoma,0-17 years,0.0,227.0,0.0,0.0,0.0,0.0
2023,Oklahoma,18-29 years,0.0,330.0,0.0,0.0,0.0,0.0
2023,Oklahoma,30-49 years,0.0,1383.0,71.0,0.0,0.0,82.0
2023,Oklahoma,50-74 years,233.0,7254.0,633.0,79.0,39.0,824.0
2023,Oklahoma,75+ years,462.0,9370.0,777.0,147.0,35.0,1120.0
2023,Oregon,0-17 years,0.0,135.0,0.0,0.0,0.0,0.0
2023,Oregon,18-29 years,0.0,313.0,0.0,0.0,0.0,0.0
2023,Oregon,30-49 years,0.0,1152.0,19.0,0.0,0.0,38.0
2023,Oregon,50-74 years,114.0,6206.0,330.0,56.0,10.0,404.0
2023,Oregon,75+ years,353.0,10372.0,623.0,121.0,38.0,892.0
2023,Pennsylvania,0-17 years,0.0,525.0,0.0,0.0,0.0,12.0
2023,Pennsylvania,18-29 years,0.0,857.0,20.0,0.0,0.0,24.0
2023,Pennsylvania,30-49 years,40.0,3315.0,114.0,0.0,0.0,151.0
2023,Pennsylvania,50-74 years,474.0,20862.0,1143.0,157.0,55.0,1515.0
2023,Pennsylvania,75+ years,1516.0,36514.0,2238.0,463.0,103.0,3385.0
2023,Rhode Island,0-17 years,0.0,45.0,0.0,0.0,0.0,0.0
2023,Rhode Island,18-29 years,0.0,63.0,0.0,0.0,0.0,0.0
2023,Rhode Island,30-49 years,0.0,238.0,0.0,0.0,0.0,0.0
2023,Rhode Island,50-74 years,29.0,1589.0,56.0,0.0,0.0,79.0
2023,Rhode Island,75+ years,99.0,2975.0,161.0,17.0,11.0,246.0
2023,South Carolina,0-17 years,0.0,293.0,0.0,0.0,0.0,0.0
2023,South Carolina,18-29 years,0.0,505.0,0.0,0.0,0.0,0.0
2023,South Carolina,30-49 years,12.0,1830.0,50.0,0.0,0.0,66.0
2023,South Carolina,50-74 years,264.0,9654.0,600.0,101.0,11.0,780.0
2023,South Carolina,75+ years,551.0,12861.0,815.0,178.0,24.0,1208.0
2023,South Dakota,0-17 years,0.0,43.0,0.0,0.0,0.0,0.0
2023,South Dakota,18-29 years,0.0,49.0,0.0,0.0,0.0,0.0
2023,South Dakota,30-49 years,0.0,226.0,0.0,0.0,0.0,10.0
2023,South Dakota,50-74 years,21.0,1158.0,85.0,0.0,0.0,99.0
2023,South Dakota,75+ years,87.0,1973.0,158.0,10.0,0.0,238.0
2023,Tennessee,0-17 years,0.0,474.0,12.0,0.0,0.0,14.0
2023,Tennessee,18-29 years,0.0,813.0,11.0,0.0,0.0,14.0
2023,Tennessee,30-49 years,23.0,2948.0,99.0,0.0,0.0,122.0
2023,Tennessee,50-74 years,372.0,14298.0,1080.0,148.0,41.0,1339.0
2023,Tennessee,75+ years,793.0,17796.0,1328.0,257.0,48.0,1904.0
2023,Texas,0-17 years,0.0,1501.0,30.0,0.0,0.0,38.0
2023,Texas,18-29 years,13.0,2152.0,47.0,0.0,0.0,57.0
2023,Texas,30-49 years,84.0,7230.0,325.0,38.0,0.0,385.0
2023,Texas,50-74 years,861.0,37877.0,2610.0,419.0,75.0,3117.0
2023,Texas,75+ years,1777.0,50934.0,3702.0,827.0,105.0,4740.0
2023,Utah,0-17 years,0.0,213.0,0.0,0.0,0.0,14.0
2023,Utah,18-29 years,0.0,212.0,0.0,0.0,0.0,0.0
2023,Utah,30-49 years,0.0,802.0,38.0,0.0,0.0,43.0
2023,Utah,50-74 years,45.0,3118.0,195.0,16.0,0.0,228.0
2023,Utah,75+ years,98.0,5308.0,264.0,44.0,12.0,336.0
2023,Vermont,0-17 years,0.0,14.0,0.0,0.0,0.0,0.0
2023,Vermont,18-29 years,0.0,31.0,0.0,0.0,0.0,0.0
2023,Vermont,30-49 years,0.0,113.0,0.0,0.0,0.0,0.0
2023,Vermont,50-74 years,13.0,856.0,51.0,0.0,0.0,63.0
2023,Vermont,75+ years,69.0,1738.0,130.0,11.0,0.0,194.0
2023,Virginia,0-17 years,0.0,347.0,0.0,0.0,0.0,0.0
2023,Virginia,18-29 years,0.0,609.0,0.0,0.0,0.0,0.0
2023,Virginia,30-49 years,13.0,2149.0,50.0,0.0,0.0,68.0
2023,Virginia,50-74 years,280.0,11961.0,571.0,99.0,14.0,771.0
2023,Virginia,75+ years,766.0,19069.0,1061.0,244.0,29.0,1610.0
2023,Washington,0-17 years,0.0,313.0,0.0,0.0,0.0,0.0
2023,Washington,18-29 years,0.0,525.0,13.0,0.0,0.0,13.0
2023,Washington,30-49 years,10.0,2034.0,58.0,0.0,0.0,68.0
2023,Washington,50-74 years,216.0,10016.0,634.0,91.0,30.0,788.0
2023,Washington,75+ years,545.0,15907.0,1047.0,236.0,65.0,1418.0
2023,West Virginia,0-17 years,0.0,75.0,0.0,0.0,0.0,0.0
2023,West Virginia,18-29 years,0.0,189.0,0.0,0.0,0.0,0.0
2023,West Virginia,30-49 years,0.0,804.0,43.0,0.0,0.0,48.0
2023,West Virginia,50-74 years,136.0,4393.0,408.0,51.0,0.0,497.0
2023,West Virginia,75+ years,255.0,5505.0,577.0,96.0,0.0,751.0
2023,Wisconsin,0-17 years,0.0,235.0,0.0,0.0,0.0,0.0
2023,Wisconsin,18-29 years,0.0,325.0,0.0,0.0,0.0,0.0
2023,Wisconsin,30-49 years,0.0,1382.0,39.0,0.0,0.0,48.0
2023,Wisconsin,50-74 years,162.0,8502.0,427.0,54.0,32.0,563.0
2023,Wisconsin,75+ years,493.0,14851.0,799.0,159.0,47.0,1174.0
2023,Wyoming,0-17 years,0.0,19.0,0.0,0.0,0.0,0.0
2023,Wyoming,18-29 years,0.0,58.0,0.0,0.0,0.0,0.0
2023,Wyoming,30-49 years,0.0,158.0,0.0,0.0,0.0,0.0
2023,Wyoming,50-74 years,0.0,844.0,42.0,0.0,0.0,56.0
2023,Wyoming,75+ years,42.0,1195.0,87.0,0.0,0.0,115.0
